token,count,example
xenos,2153,"A character has 6 augment insertions: 1 optical and 1 cortical insertion in the head, 1 somatic insertion in the torso, 2 insertions in the arms (sinistral and "
von,1602,Theodora Von Valancius
valancius,1560,Theodora Von Valancius
imperium,963,"Gain access to the two upcoming major story expansions for Warhammer 40,000: Rogue Trader and save with the bundle price!1. Void ShadowsThe first story expansio"
mon-keigh,859,Mon-Keigh
heinrix,855,Heinrix
yrliet,816,Yrliet Lanaevyss
jae,784,Jae
marazhai,685,Marazhai
adeptus,654,"Gain access to the two upcoming major story expansions for Warhammer 40,000: Rogue Trader and save with the bundle price!1. Void ShadowsThe first story expansio"
omnissiah,602,"""The Infinite Museion"" is the third story expansion for Warhammer 40,000: Rogue Trader, drawing you into the iconic vault of Trazyn the Infinite. Pursue rare ar"
solomorne,597,Solomorne Anthar
idira,587,Idira
kibellah,580,Kibellah
vox,564,"The vox embedded in the handcuffs crackles to life: ""I bear my guilt before the visage of the Emperor."""
god-emperor,559,"With the might of your faith, you spurred the false Commissar Iako Sotniy to do what one would have thought impossible: escape the Dark City, repent, and rekind"
shereen,553,"""What about the sagacious marauders rooting around in the guts of this dead colossus of the void? Talk to them — wisdom can be found in unexpected places, shere"
pasqal,542,Pasqal
dargonus,537,"The Rogue Trader's familiar has its own maintenance stations located on the flagship and in your residence on Dargonus. Through corresponding upgrade kits, thos"
drukhari,534,Marazhai is a Drukhari and a Dracon of the Kabal of the Reaving Tempest. Marazhai does not use human weapons and can wear either Drukhari armour or — if he lear
aeldari,534,Marazhai is a Drukhari and a Dracon of the Kabal of the Reaving Tempest. Marazhai does not use human weapons and can wear either Drukhari armour or — if he lear
koronus,517,"Abelard, bring me the mirror! Travel across the Koronus Expanse with fresh flair. This appearance pack for Warhammer 40,000: Rogue Trader includes seven distinc"
voidship,477,"Maximum wounds have been decreased. To heal a trauma, this character must visit the voidship."
cogitator,459,"To open the door, click on the icon above the cogitator — the character with the highest Logic will make the skill test. If this test fails, the door will remai"
eogunn,454,"Eogunn has a unique background. As a Manipulus, he can accumulate a special resource known as potential energy for each AP spent. His mechadendrites channel thi"
elantach,443,"One day, Yrliet returned to find the elantach on his deathbed — her search had taken decades, yet decades pass without notice for Aeldari. Yrliet spent the elan"
orsellio,428,Regent Aaronto – House Orsellio Regent (Cutscene)
ulfar,389,Ulfar
argenta,389,Argenta
psyker,388,"Idira is armed with a special staff that allows a psyker to unleash psychic powers against enemies. In the future, you will encounter staves that only a psyker "
melee,384,This creature inflicts toxin with their melee attacks.
domin,379,"However, none in the Expanse were the wiser as to the true and greater horror of her fate. Devastated by the treachery of the one she loved, Kibellah's sufferin"
seberian,357,Seberian
mechanicus,355,Archeotech is often recovered in the frontier regions of the galaxy. While the Adeptus Mechanicus is particularly interested in the recovery of such ancient tec
tech-priest,350,Ballistic mechadendrites allow the Tech-Priest to use any ranged weapon hands-free.
nuncius,338,You discussed the origins of the servo-skull named Nuncius with the Haemonculus Tervantias.
winterscale,309,"After the death of Rogue Trader Winterscale on Quetza Temer, you made an agreement with House Winterscale, and so the dynasty's heir came to repay his debt to y"
calligos,299,You dissuaded Calligos Winterscale from battling the Aeldari in the forests of Quetza Temer.
arbites,294,Arbites Male
sauerback,292,You executed Regina Sauerback on charges of treason.
